S No,COA Code,Narration,Level #
1,1-00-000-0000-00000,ASSET,1
2,1-01-000-0000-00000,    NON CURRENT ASSETS,2
3,1-01-010-0000-00000,"        PROPERTY,PLANT & EQUIPMENT",3
4,1-01-010-0001-00000,            FREEHOLD LAND ZKB ECLIPSE PROJECT,4
5,1-01-010-0002-00000,            BUILDING,4
6,1-01-010-0003-00000,            CONTAINERS,4
7,1-01-010-0004-00000,            PLANT & MACHINERY,4
8,1-01-010-0005-00000,            FURNITURE AND FIXTURE,4
9,1-01-010-0006-00000,            VEHICLES,4
10,1-01-010-0007-00000,            COMPUTERS,4
11,1-01-010-0008-00000,            OFFICE EQUIPMENTS,4
12,1-01-010-0009-00000,            ELECTRIC EQUIPMENTS,4
13,1-01-010-0010-00000,            TOOLS AND EQUIPMENT,4
14,1-01-010-0011-00000,            ARMS AND AMMUNITIONS,4
15,1-01-020-0000-00000,        ACCUMULATED DEPRECIATION OWN ASSETS,3
16,1-01-020-0001-00000,            FREEHOLD LAND ZKB ECLIPSE PROJECT (DEP),4
17,1-01-020-0002-00000,            BUILDING (DEP),4
18,1-01-020-0003-00000,            CONTAINERS (DEP),4
19,1-01-020-0004-00000,            PLANT & MACHINERY (DEP),4
20,1-01-020-0005-00000,            FURNITURE AND FIXTURE (DEP),4
21,1-01-020-0006-00000,            VEHICLES (DEP),4
22,1-01-020-0007-00000,            COMPUTERS (DEP),4
23,1-01-020-0008-00000,            OFFICE EQUIPMENTS (DEP),4
24,1-01-020-0009-00000,            ELECTRIC EQUIPMENTS (DEP),4
25,1-01-020-0010-00000,            TOOLS AND EQUIPMENT (DEP),4
26,1-01-020-0011-00000,            ARMS AND AMMUNITIONS (DEP),4
27,1-02-000-0000-00000,    LEASE & OTHER LONG TERM ASSETS ,2
28,1-02-010-0000-00000,        ASSET SUBJECT TO FINANCE LEASE,3
29,1-02-010-0001-00000,            VEHICLES (LEASE),4
30,1-02-010-0002-00000,            PLANT & MACHINERY (LEASE),4
31,1-02-010-0003-00000,            ELECTRICAL EQUIPMENT &  INSTALLATION (LEASE),4
32,1-02-020-0000-00000,        AMORTIZATION ON LEASE ASSETS,3
33,1-02-020-0001-00000,            VEHICLES (AMORT),4
34,1-02-020-0002-00000,            PLANT & MACHINERY (AMORT),4
35,1-02-030-0000-00000,        LONG TERM INVESTMENTS,3
36,1-02-030-0001-00000,            INVESTMENT IN ASSOCIATE AND OTHERS COMPANY,4
37,1-02-030-0002-00000,            INVESTMENT IN SUBSIDIARY COMPANY,4
38,1-02-040-0000-00000,        LONG TERM DEPOSITS,3
39,1-02-040-0001-00000,            BANK GUARANTEES,4
40,1-02-040-0002-00000,            LEASE KEY MONEY,4
41,1-02-040-0003-00000,            SECURITY DEPOSIT,4
42,1-02-050-0000-00000,        INTANGIBLE FIXED ASSETS,3
43,1-02-050-0001-00000,            SOFTWARE'S,4
44,1-02-060-0000-00000,        LONG TERM ADVANCES,3
45,1-02-060-0001-00000,            ADVANCES TO ASSOCIATE COMPANIES,4
46,1-02-060-0002-00000,            ADVANCES TO SUBSIDIARIES COMPANIES,4
47,1-02-060-0003-00000,            INTER PROJECT,4
48,1-02-060-0004-00000,            ADVANCE TO DIRECTORS,4
49,1-03-000-0000-00000,    CURRENT ASSETS,2
50,1-03-010-0000-00000,        CAPITAL WORK IN PROGRESS,3
51,1-03-010-0001-00000,            LAND WORK IN PROGRESS,4
52,1-03-010-0001-00001,            LAND ZKB ECLIPSE,5
53,1-03-010-0001-00002,            LAND REGISTRY & OTHER EXPENSES ZKB ECLIPSE,5
54,1-03-010-0002-00000,            MATERIAL WORK IN PROGRESS,4
55,1-03-010-0002-00001,            BUILDING WORK IN PROGRESS,5
56,1-03-010-0002-00002,            ROADS WORK IN PROGRESS,5
57,1-03-010-0002-00003,            GATES CONSTRUCTION WORK IN PROGRESS,5
58,1-03-010-0002-00004,            ELECTRIC INSTALLATION WORK IN PROGRESS,5
59,1-03-010-0002-00005,            SEVERAGE & WATER WORK IN PROGRESS,5
60,1-03-010-0002-00009,            OTHERS WORK IN PROGRESS,5
61,1-03-010-0003-00000,            NON MATERIAL WORK IN PROGRESS,4
62,1-03-010-0003-00001,            PLANNING & SANCTIONS WORK IN PROGRESS,5
63,1-03-010-0003-00002,            ARCHITECT & DESIGN FEE WORK IN PROGRESS,5
64,1-03-010-0003-00003,            GENERAL WORK IN PROGRESS,5
65,1-03-020-0000-00000,        SHORT TERM SECURITY DEPOSITS,3
66,1-03-020-0001-00000,            SHORT TERM SECURITY DEPOSITS,4
67,1-03-030-0000-00000,        TRADE DEBTORS,3
68,1-03-030-0001-00000,            OTHER DEBTORS,4
69,1-03-040-0000-00000,"        ADVANCES,DEPOSITS,PREPAYMENTS & OTHER RECEIVABLES",3
70,1-03-040-0001-00000,            ADVANCES TO EMPLOYEES AGAINST SALARY,4
71,1-03-040-0002-00000,            ADVANCES TO EMPLOYEES AGAINST EXPENSES,4
72,1-03-040-0003-00000,            LOAN TO EMPLOYEES AGAINST EXPENSES,4
73,1-03-040-0004-00000,            ADVANCE TO SUPPLIERS,4
74,1-03-040-0005-00000,            MOBILIZATION ADVANCE TO CONTRACTORS,4
75,1-03-040-0006-00000,            ADVANCES TO DIRECTORS,4
76,1-03-040-0007-00000,            OTHER ADVANCES,4
77,1-03-050-0000-00000,        PREPAYMENTS,3
78,1-03-050-0001-00000,            ADVANCE INCOME TAX,4
79,1-03-050-0002-00000,            PREPAID INSURANCE,4
80,1-03-050-0003-00000,            PREPAID RENT,4
81,1-03-050-0004-00000,            PREPAID EXPENSES,4
82,1-03-050-0005-00000,            OTHERS RECEIVABLES,4
83,1-03-050-0006-00000,            ADVANCE AGAINST LAND,4
84,1-03-070-0000-00000,        CASH & BANK BALANCES,3
85,1-03-070-0001-00000,            CASH IN HAND,4
86,1-03-070-0002-00000,            CASH AT BANK,4
87,2-00-000-0000-00000,EQUITY & LONG TERM LIABILITIES,1
88,2-01-000-0000-00000,    SHARE CAPITAL & RESERVES,2
89,2-01-010-0000-00000,        ISSUED SUBSCRIBED AND PAID UP CAPITAL,3
90,2-01-010-0001-00000,            PARTNERS CAPITAL,4
91,2-01-010-0002-00000,            DRAWINGS,4
92,2-02-000-0000-00000,    RESERVES & SURPLUS,2
93,2-02-010-0000-00000,        CAPITAL RESERVES,3
94,2-02-010-0001-00000,            SHARE PREMIUM ON ORDINARY SHARES,4
95,2-02-010-0002-00000,            PREFERENCE SHARE REDEMPTION RESERVE,4
96,2-02-020-0000-00000,        REVENUE RESERVE,3
97,2-02-020-0001-00000,            UNAPPROPRIATED PROFIT/LOSS,4
98,2-02-020-0003-00000,            SURPLUS ON REVALUATION OF FIXED ASSETS,4
99,2-02-020-0004-00000,            SURPLUS ON REVALUATION OF BUILDING,4
100,2-02-020-0005-00000,            SURPLUS ON REVALUATION OF PLANT & MACHINERY,4
101,2-03-000-0000-00000,    NON CURRENT LIABILITIES,2
102,2-03-010-0000-00000,        LONG TERM LOANS FROM DIRECTORS / MANAGING AGENTS,3
103,2-03-010-0001-00000,            LONG TERM LOAN FROM DIRECTORS,4
104,2-03-010-0002-00000,            LONG TERM LOANS OTHERS,4
105,2-03-020-0000-00000,        LONG TERM LOANS FROM BANKS/ FINANCIAL INSTITUTION,3
106,2-03-020-0001-00000,            LONG TERM LOANS FROM BANKS,4
107,2-03-020-0002-00000,            LONG TERM LOANS FROM FINANCIAL INSTITUTION,4
108,2-03-030-0000-00000,        DUE TO RELATED PARTIES,3
109,2-03-030-0001-00000,            DUE TO HOLDING COMPANY,4
110,2-03-030-0002-00000,            DUE TO SUBSIDIARY COMPANY,4
111,2-03-030-0003-00000,            DUE TO ASSOCIATED COMPANY,4
112,2-03-040-0000-00000,        LONG TERM DEPOSITS,3
113,2-03-040-0001-00000,            LONG TERM DEPOSITS,4
114,2-03-050-0000-00000,        LIABILITIES AGAINST ASSETS SUBJECT TO FINANCE LEAS,3
115,2-03-050-0001-00000,            MOTOR VEHICLES FINANCE LEASE,4
116,2-03-050-0002-00000,            PLANT AND MACHINERY FINANCE LEASE,4
117,2-03-060-0000-00000,        DEFERRED LIABILITIES,3
118,2-03-060-0001-00000,            DEFERRED LIABILITIES,4
119,2-03-060-0002-00000,            GRATUITY,4
120,2-03-060-0001-00001,            PROVIDENT FUND,4
121,3-00-000-0000-00000,CURRENT LIABILITIES (ACCRUED & OTHER LIAB),1
122,3-01-000-0000-00000,    CREDITORS,2
123,3-01-010-0000-00000,        CREDITORS SUPPLIERS,3
124,3-01-020-0000-00000,        CREDITORS SERVICE PROVIDER,3
125,3-01-030-0000-00000,        CREDITORS CONTRACTORS,3
126,3-01-040-0000-00000,        CREDITORS UTILITIES,3
127,3-01-050-0000-00000,        CREDITORS LAND,3
128,3-01-060-0000-00000,        CREDITORS OTHERS,3
129,3-02-000-0000-00000,    SECURITY DEPOSIT PAYABLE,2
130,3-02-010-0000-00000,        SECURITY DEPOSITS DEALERS,3
131,3-02-010-0001-00000,        SECURITY DEPOSITS DEALERS,4
132,3-02-020-0000-00000,        SECURITY DEPOSITS CONTRACTOR,3
133,3-02-030-0000-00000,        SECURITY DEPOSIT OTHER,3
134,3-03-000-0000-00000,    ADVANCES FROM CUSTOMERS & DISCOUNT ALLOWED,2
135,3-03-010-0000-00000,        ADVANCES FROM CUSTOMERS RESIDENTIAL,3
136,3-03-010-0001-00000,          ADVANCES FROM CUSTOMERS - 1-BED APARTMENT,4
137,3-03-010-0002-00000,          ADVANCES FROM CUSTOMERS - 2-BED APARTMENT,4
138,3-03-010-0003-00000,          ADVANCES FROM CUSTOMERS - 3-BED APARTMENT,4
139,3-03-020-0000-00000,        ADVANCES FROM CUSTOMERS COMMERCIAL SHOPS,3
140,3-03-020-0001-00000,          ADVANCES FROM CUSTOMERS - LOWER GROUND SHOPS,4
141,3-03-020-0002-00000,          ADVANCES FROM CUSTOMERS - GROUND FLOOR SHOPS,4
142,3-03-020-0003-00000,          ADVANCES FROM CUSTOMERS - 1ST FLOOR SHOPS,4
143,3-03-020-0004-00000,          ADVANCES FROM CUSTOMERS - 2ND FLOOR SHOPS,4
144,3-03-020-0005-00000,          ADVANCES FROM CUSTOMERS - 3RD FLOOR SHOPS,4
145,3-03-020-0006-00000,          ADVANCES FROM CUSTOMERS - 4TH FLOOR SHOPS,4
146,3-03-020-0007-00000,          ADVANCES FROM CUSTOMERS - 5TH FLOOR SHOPS,4
147,3-03-020-0008-00000,          ADVANCES FROM CUSTOMERS - 6TH FLOOR SHOPS,4
148,3-03-020-0009-00000,          ADVANCES FROM CUSTOMERS - 23RD FLOOR SHOPS,4
149,3-03-020-0010-00000,          ADVANCES FROM CUSTOMERS - 24TH FLOOR SHOPS,4
150,3-03-020-0011-00000,          ADVANCES FROM CUSTOMERS - 25TH FLOOR SHOPS,4
151,3-03-020-0012-00000,          ADVANCES FROM CUSTOMERS - 26TH FLOOR SHOPS,4
152,3-03-030-0000-00000,        ADVANCES FROM CUSTOMERS PENT HOUSES,3
153,3-03-030-0001-00000,          ADVANCES FROM CUSTOMERS - PENT HOUSES,4
154,3-03-040-0000-00000,        ADVANCES FROM CUSTOMERS OTHERS,3
155,3-03-050-0000-00000,        SUSPENS ACCOUNT,3
156,3-03-060-0000-00000,        DISCOUNT ALLOWED TO CUSTOMERS,3
157,3-04-000-0000-00000,     ACCRUED EXPENSES,2
158,3-04-010-0000-00000,            SALARIES & WAGES PAYABLE,3
159,3-04-010-0001-00000,              SALARIES PAYABLE,4
160,3-04-010-0002-00000,              EMPLOYEES FUEL PAYABLE,4
161,3-04-010-0003-00000,              EMPLOYEES BENEFITS PAYABLE,4
162,3-04-020-0000-00000,            UTILITIES PAYABLE,3
163,3-04-020-0001-00000,              ELECTRICITY BILLS PAYABLE,4
164,3-04-020-0002-00000,              SUI GAS BILLS PAYABLE,4
165,3-04-020-0003-00000,              WATER BILL PAYABLE,4
166,3-04-020-0004-00000,              TELEPHONE BILL PAYABLE,4
167,3-04-020-0005-00000,              INTERNET BILL PAYABLE,4
168,3-04-020-0006-00000,              SOCIAL SECURITY PAYABLE,4
169,3-04-020-0008-00000,              SOCIETY MAINTANCE CHARGES PAYABLE,4
170,3-04-030-0000-00000,            RENT PAYABLE,3
171,3-05-000-0000-00000,     SHORT TERM DEPOSITS AND PAYABLES,2
172,3-05-010-0000-00000,        TAX DEDUCTED AT SOURCE,3
173,3-05-010-0001-00000,            TAX DED. AT SOURCE - SUPPLIERS,4
174,3-05-010-0002-00000,            TAX DED. AT SOURCE - SALARIES,4
175,3-05-010-0003-00000,            TAX DED. AT SOURCE - SERVICES PROVIDER,4
176,3-05-010-0004-00000,            TAX DED. AT SOURCE - CONTRACTORS,4
177,3-05-010-0005-00000,            TAX DED. AT SOURCE - COMMISSION AGENTS,4
178,3-05-010-0006-00000,            TAX DED. AT SOURCE - RENTAL PROPERTY,4
179,3-05-010-0007-00000,            TAX DED. AT SOURCE - SALE TAX,4
180,3-05-020-0000-00000,        SHORT TERM BORROWINGS,3
181,3-05-020-0001-00000,            LOAN FROM DIRECTORS,4
182,3-05-020-0002-00000,            LOAN FROM ASSOCIATED COMPANY,4
183,3-05-020-0003-00000,            LOAN FROM FINANCIAL/BANKING INSTITUTIONS,4
184,3-05-030-0000-00000,        RETENTION MONEY PAYABLE,3
185,3-05-030-0001-00000,            RETENTION MONEY PAYABLE VENDORS,4
186,3-05-030-0002-00000,            RETENTION MONEY PAYABLE  CONTRACTOR,4
187,3-05-040-0000-00000,        CURRENT PORTION OF NON CURRENT LIABILITIES,3
188,3-05-040-0001-00000,            LOAN FROM FINANCIAL/BANKING INSTITUTIONS,4
