TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	C_LEN	N_PREC	N_SCALE	IS_NULLABLE
----------	----------------	-----------	---------	-----	------	-------	-----------
AccountCategory	1	AccountCategoryID	int	NULL	10	0	NO
AccountCategory	2	CategoryName	nvarchar	100	NULL	NULL	NO
AccountCategory	3	NatureType	nvarchar	20	NULL	NULL	NO
AccountCategory	4	IsActive	bit	NULL	NULL	NULL	NO
AccountCategory	5	CreatedAt	datetime2	NULL	NULL	NULL	NO
AccountHead	1	AccountHeadID	int	NULL	10	0	NO
AccountHead	2	AccountCategoryID	int	NULL	10	0	NO
AccountHead	3	ParentAccountHeadID	int	NULL	10	0	YES
AccountHead	4	AccountCode	nvarchar	30	NULL	NULL	NO
AccountHead	5	AccountName	nvarchar	150	NULL	NULL	NO
AccountHead	6	AccountLevel	tinyint	NULL	3	0	NO
AccountHead	7	IsControlAccount	bit	NULL	NULL	NULL	NO
AccountHead	8	AllowDirectPosting	bit	NULL	NULL	NULL	NO
AccountHead	9	OpeningBalance	decimal	NULL	18	2	NO
AccountHead	10	OpeningBalanceDate	date	NULL	NULL	NULL	YES
AccountHead	11	OpeningBalanceType	nvarchar	10	NULL	NULL	YES
AccountHead	12	Description	nvarchar	500	NULL	NULL	YES
AccountHead	13	IsActive	bit	NULL	NULL	NULL	NO
AccountHead	14	CreatedAt	datetime2	NULL	NULL	NULL	NO
AccountHead	15	CreatedBy	nvarchar	10	NULL	NULL	NO
AccountingAuditLog	1	LogID	bigint	NULL	19	0	NO
AccountingAuditLog	2	TableName	nvarchar	100	NULL	NULL	NO
AccountingAuditLog	3	RecordID	nvarchar	50	NULL	NULL	NO
AccountingAuditLog	4	Action	nvarchar	20	NULL	NULL	NO
AccountingAuditLog	5	OldValues	nvarchar	-1	NULL	NULL	YES
AccountingAuditLog	6	NewValues	nvarchar	-1	NULL	NULL	YES
AccountingAuditLog	7	ChangedBy	nvarchar	10	NULL	NULL	NO
AccountingAuditLog	8	ChangedAt	datetime2	NULL	NULL	NULL	NO
AccountingAuditLog	9	IPAddress	nvarchar	50	NULL	NULL	YES
AccountingAuditLog	10	UserAgent	nvarchar	300	NULL	NULL	YES
AccountingPeriod	1	PeriodID	int	NULL	10	0	NO
AccountingPeriod	2	FiscalYearID	int	NULL	10	0	NO
AccountingPeriod	3	PeriodName	nvarchar	50	NULL	NULL	NO
AccountingPeriod	4	StartDate	date	NULL	NULL	NULL	NO
AccountingPeriod	5	EndDate	date	NULL	NULL	NULL	NO
AccountingPeriod	6	Status	nvarchar	20	NULL	NULL	NO
AccountingPeriod	7	ClosedBy	nvarchar	10	NULL	NULL	YES
AccountingPeriod	8	ClosedAt	datetime2	NULL	NULL	NULL	YES
APBill	1	APBillID	int	NULL	10	0	NO
APBill	2	BillNo	nvarchar	30	NULL	NULL	NO
APBill	3	BillDate	date	NULL	NULL	NULL	NO
APBill	4	DueDate	date	NULL	NULL	NULL	NO
APBill	5	VendorID	int	NULL	10	0	NO
APBill	6	ProjectID	nvarchar	10	NULL	NULL	YES
APBill	7	CostCenterID	int	NULL	10	0	YES
APBill	8	BillType	nvarchar	50	NULL	NULL	NO
APBill	9	SubTotal	decimal	NULL	18	2	NO
APBill	10	WHTAmount	decimal	NULL	18	2	NO
APBill	11	GSTAmount	decimal	NULL	18	2	NO
APBill	12	OtherTaxAmount	decimal	NULL	18	2	NO
APBill	13	TotalAmount	decimal	NULL	18	2	NO
APBill	14	RetentionAmount	decimal	NULL	18	2	NO
APBill	15	RetentionReleased	decimal	NULL	18	2	NO
APBill	16	RetentionBalance	decimal	NULL	19	2	YES
APBill	17	PaidAmount	decimal	NULL	18	2	NO
APBill	18	BalanceAmount	decimal	NULL	20	2	YES
APBill	19	Status	nvarchar	20	NULL	NULL	NO
APBill	20	VoucherID	int	NULL	10	0	YES
APBill	21	Notes	nvarchar	500	NULL	NULL	YES
APBill	22	AttachmentPath	nvarchar	500	NULL	NULL	YES
APBill	23	CreatedBy	nvarchar	10	NULL	NULL	NO
APBill	24	CreatedAt	datetime2	NULL	NULL	NULL	NO
APBill	25	ApprovedBy	nvarchar	10	NULL	NULL	YES
APBill	26	ApprovedAt	datetime2	NULL	NULL	NULL	YES
APBillLine	1	APBillLineID	int	NULL	10	0	NO
APBillLine	2	APBillID	int	NULL	10	0	NO
APBillLine	3	LineNumber	smallint	NULL	5	0	NO
APBillLine	4	AccountHeadID	int	NULL	10	0	NO
APBillLine	5	Description	nvarchar	300	NULL	NULL	NO
APBillLine	6	Quantity	decimal	NULL	10	3	YES
APBillLine	7	UnitPrice	decimal	NULL	18	2	YES
APBillLine	8	Amount	decimal	NULL	18	2	NO
APBillLine	9	WHTRate	decimal	NULL	5	2	YES
APBillLine	10	WHTAmount	decimal	NULL	18	2	YES
APBillLine	11	GSTRate	decimal	NULL	5	2	YES
APBillLine	12	GSTAmount	decimal	NULL	18	2	YES
APPayment	1	APPaymentID	int	NULL	10	0	NO
APPayment	2	PaymentNo	nvarchar	30	NULL	NULL	NO
APPayment	3	PaymentDate	date	NULL	NULL	NULL	NO
APPayment	4	VendorID	int	NULL	10	0	NO
APPayment	5	PaidAmount	decimal	NULL	18	2	NO
APPayment	6	PaymentMode	nvarchar	30	NULL	NULL	NO
APPayment	7	BankAccountID	int	NULL	10	0	YES
APPayment	8	ChequeRegisterID	int	NULL	10	0	YES
APPayment	9	ChequeNo	nvarchar	30	NULL	NULL	YES
APPayment	10	ChequeDate	date	NULL	NULL	NULL	YES
APPayment	11	VoucherID	int	NULL	10	0	YES
APPayment	12	Status	nvarchar	20	NULL	NULL	NO
APPayment	13	Remarks	nvarchar	500	NULL	NULL	YES
APPayment	14	CreatedBy	nvarchar	10	NULL	NULL	NO
APPayment	15	CreatedAt	datetime2	NULL	NULL	NULL	NO
APPaymentAllocation	1	AllocationID	int	NULL	10	0	NO
APPaymentAllocation	2	APPaymentID	int	NULL	10	0	NO
APPaymentAllocation	3	APBillID	int	NULL	10	0	NO
APPaymentAllocation	4	AllocatedAmount	decimal	NULL	18	2	NO
APPaymentAllocation	5	IsRetentionRelease	bit	NULL	NULL	NULL	NO
APPaymentAllocation	6	AllocatedAt	datetime2	NULL	NULL	NULL	NO
APPaymentAllocation	7	AllocatedBy	nvarchar	10	NULL	NULL	NO
ARInvoice	1	ARInvoiceID	int	NULL	10	0	NO
ARInvoice	2	InvoiceNo	nvarchar	30	NULL	NULL	NO
ARInvoice	3	InvoiceDate	date	NULL	NULL	NULL	NO
ARInvoice	4	DueDate	date	NULL	NULL	NULL	NO
ARInvoice	5	CustomerID	nvarchar	10	NULL	NULL	NO
ARInvoice	6	ProjectID	nvarchar	10	NULL	NULL	YES
ARInvoice	7	AllotmentID	nvarchar	10	NULL	NULL	YES
ARInvoice	8	AccountHeadID	int	NULL	10	0	NO
ARInvoice	9	InvoiceType	nvarchar	50	NULL	NULL	NO
ARInvoice	10	SubTotal	decimal	NULL	18	2	NO
ARInvoice	11	TaxAmount	decimal	NULL	18	2	NO
ARInvoice	12	DiscountAmount	decimal	NULL	18	2	NO
ARInvoice	13	TotalAmount	decimal	NULL	18	2	NO
ARInvoice	14	PaidAmount	decimal	NULL	18	2	NO
ARInvoice	15	BalanceAmount	decimal	NULL	19	2	YES
ARInvoice	16	Status	nvarchar	20	NULL	NULL	NO
ARInvoice	17	PMSPaymentScheduleID	nvarchar	10	NULL	NULL	YES
ARInvoice	18	PMSPenaltyID	nvarchar	10	NULL	NULL	YES
ARInvoice	19	VoucherID	int	NULL	10	0	YES
ARInvoice	20	CancellationReason	nvarchar	300	NULL	NULL	YES
ARInvoice	21	Notes	nvarchar	500	NULL	NULL	YES
ARInvoice	22	CreatedBy	nvarchar	10	NULL	NULL	NO
ARInvoice	23	CreatedAt	datetime2	NULL	NULL	NULL	NO
ARInvoice	24	LastModifiedBy	nvarchar	10	NULL	NULL	YES
ARInvoice	25	LastModifiedAt	datetime2	NULL	NULL	NULL	YES
ARReceipt	1	ARReceiptID	int	NULL	10	0	NO
ARReceipt	2	ReceiptNo	nvarchar	30	NULL	NULL	NO
ARReceipt	3	ReceiptDate	date	NULL	NULL	NULL	NO
ARReceipt	4	CustomerID	nvarchar	10	NULL	NULL	NO
ARReceipt	5	ProjectID	nvarchar	10	NULL	NULL	YES
ARReceipt	6	AllotmentID	nvarchar	10	NULL	NULL	YES
ARReceipt	7	ReceivedAmount	decimal	NULL	18	2	NO
ARReceipt	8	PaymentMode	nvarchar	30	NULL	NULL	NO
ARReceipt	9	BankAccountID	int	NULL	10	0	YES
ARReceipt	10	ChequeRegisterID	int	NULL	10	0	YES
ARReceipt	11	ChequeNo	nvarchar	30	NULL	NULL	YES
ARReceipt	12	ChequeDate	date	NULL	NULL	NULL	YES
ARReceipt	13	BankName	nvarchar	150	NULL	NULL	YES
ARReceipt	14	IsPostDated	bit	NULL	NULL	NULL	NO
ARReceipt	15	PMSPaymentID	nvarchar	10	NULL	NULL	YES
ARReceipt	16	VoucherID	int	NULL	10	0	YES
ARReceipt	17	Status	nvarchar	20	NULL	NULL	NO
ARReceipt	18	Remarks	nvarchar	500	NULL	NULL	YES
ARReceipt	19	CreatedBy	nvarchar	10	NULL	NULL	NO
ARReceipt	20	CreatedAt	datetime2	NULL	NULL	NULL	NO
ARReceiptAllocation	1	AllocationID	int	NULL	10	0	NO
ARReceiptAllocation	2	ARReceiptID	int	NULL	10	0	NO
ARReceiptAllocation	3	ARInvoiceID	int	NULL	10	0	NO
ARReceiptAllocation	4	AllocatedAmount	decimal	NULL	18	2	NO
ARReceiptAllocation	5	AllocatedAt	datetime2	NULL	NULL	NULL	NO
ARReceiptAllocation	6	AllocatedBy	nvarchar	10	NULL	NULL	NO
BankAccount	1	BankAccountID	int	NULL	10	0	NO
BankAccount	2	AccountHeadID	int	NULL	10	0	NO
BankAccount	3	BankName	nvarchar	150	NULL	NULL	NO
BankAccount	4	BranchName	nvarchar	150	NULL	NULL	YES
BankAccount	5	BranchCode	nvarchar	20	NULL	NULL	YES
BankAccount	6	AccountTitle	nvarchar	200	NULL	NULL	NO
BankAccount	7	AccountNumber	nvarchar	50	NULL	NULL	NO
BankAccount	8	IBAN	nvarchar	34	NULL	NULL	YES
BankAccount	9	AccountType	nvarchar	30	NULL	NULL	YES
BankAccount	10	Currency	nvarchar	10	NULL	NULL	NO
BankAccount	11	OpeningBalance	decimal	NULL	18	2	NO
BankAccount	12	OpeningDate	date	NULL	NULL	NULL	YES
