ParentTable FK_Name ReferencedTable
----------- ------- ---------------
acc.AccountHead FK__AccountHe__Accou__6CA31EA0 acc.AccountCategory
acc.AccountHead FK__AccountHe__Paren__6D9742D9 acc.AccountHead
acc.AccountingPeriod FK__Accountin__Fisca__79FD19BE acc.FiscalYear
acc.APBill FK__APBill__CostCent__6E565CE8 acc.CostCenter
acc.APBill FK__APBill__VendorID__6D6238AF acc.Vendor
acc.APBill FK__APBill__VoucherI__77DFC722 acc.Voucher
acc.APBillLine FK__APBillLin__Accou__7CA47C3F acc.AccountHead
acc.APBillLine FK__APBillLin__APBil__7BB05806 acc.APBill
acc.APPayment FK__APPayment__BankA__0539C240 acc.BankAccount
acc.APPayment FK__APPayment__Chequ__062DE679 acc.ChequeRegister
acc.APPayment FK__APPayment__Vendo__04459E07 acc.Vendor
acc.APPayment FK__APPayment__Vouch__07220AB2 acc.Voucher
acc.APPaymentAllocation FK__APPayment__APBil__0CDAE408 acc.APBill
acc.APPaymentAllocation FK__APPayment__APPay__0BE6BFCF acc.APPayment
acc.ARInvoice FK__ARInvoice__Accou__4EDDB18F acc.AccountHead
acc.ARInvoice FK__ARInvoice__Vouch__558AAF1E acc.Voucher
acc.ARReceipt FK__ARReceipt__BankA__5A4F643B acc.BankAccount
acc.ARReceipt FK__ARReceipt__Chequ__5B438874 acc.ChequeRegister
acc.ARReceipt FK__ARReceipt__Vouch__5D2BD0E6 acc.Voucher
acc.ARReceiptAllocation FK__ARReceipt__ARInv__62E4AA3C acc.ARInvoice
acc.ARReceiptAllocation FK__ARReceipt__ARRec__61F08603 acc.ARReceipt
acc.BankAccount FK__BankAccou__Accou__2AA05119 acc.AccountHead
acc.BankReconciliation FK__BankRecon__BankA__4277DAAA acc.BankAccount
acc.BankReconciliation FK__BankRecon__Perio__436BFEE3 acc.AccountingPeriod
acc.BankReconciliationLine FK__BankRecon__Chequ__4A18FC72 acc.ChequeRegister
acc.BankReconciliationLine FK__BankRecon__Recon__4830B400 acc.BankReconciliation
acc.BankReconciliationLine FK__BankRecon__Vouch__4924D839 acc.VoucherLine
acc.Budget FK__Budget__FiscalYe__35DCF99B acc.FiscalYear
acc.BudgetLine FK__BudgetLin__Accou__3C89F72A acc.AccountHead
acc.BudgetLine FK__BudgetLin__Budge__3B95D2F1 acc.Budget
acc.BudgetLine FK__BudgetLin__CostC__3D7E1B63 acc.CostCenter
acc.BudgetLine FK__BudgetLin__Perio__3E723F9C acc.AccountingPeriod
acc.ChequeBook FK__ChequeBoo__BankA__314D4EA8 acc.BankAccount
acc.ChequeRegister FK__ChequeReg__BankA__370627FE acc.BankAccount
acc.ChequeRegister FK__ChequeReg__Bounc__3BCADD1B acc.Voucher
acc.ChequeRegister FK__ChequeReg__Chequ__37FA4C37 acc.ChequeBook
acc.ChequeRegister FK__ChequeReg__Repla__3DB3258D acc.ChequeRegister
acc.ChequeRegister FK__ChequeReg__Vouch__3EA749C6 acc.Voucher
acc.CostCenter FK__CostCente__Paren__7EC1CEDB acc.CostCenter
acc.DealerCommissionVoucher FK__DealerCom__Accou__269AB60B acc.Voucher
acc.DealerCommissionVoucher FK__DealerCom__APPay__278EDA44 acc.APPayment
acc.OpeningBalance FK__OpeningBa__Accou__4336F4B9 acc.AccountHead
acc.OpeningBalance FK__OpeningBa__Fisca__4242D080 acc.FiscalYear
acc.OpeningBalance FK__OpeningBa__Poste__4707859D acc.Voucher
acc.RefundVoucher FK__RefundVou__Accou__320C68B7 acc.Voucher
acc.RefundVoucher FK__RefundVou__BankA__2F2FFC0C acc.BankAccount
acc.RefundVoucher FK__RefundVou__Chequ__30242045 acc.ChequeRegister
acc.TaxTransaction FK__TaxTransa__Perio__1940BAED acc.AccountingPeriod
acc.TaxTransaction FK__TaxTransa__TaxTy__184C96B4 acc.TaxType
acc.TaxTransaction FK__TaxTransa__Vouch__1758727B acc.Voucher
acc.TaxType FK__TaxType__Account__1387E197 acc.AccountHead
acc.Vendor FK__Vendor__AccountH__67A95F59 acc.AccountHead
acc.Voucher FK__Voucher__FiscalY__0C1BC9F9 acc.FiscalYear
acc.Voucher FK__Voucher__PeriodI__0B27A5C0 acc.AccountingPeriod
acc.Voucher FK__Voucher__Reversa__10E07F16 acc.Voucher
acc.Voucher FK__Voucher__Voucher__0A338187 acc.VoucherType
acc.VoucherLine FK__VoucherLi__Accou__220B0B18 acc.AccountHead
acc.VoucherLine FK__VoucherLi__CostC__22FF2F51 acc.CostCenter
acc.VoucherLine FK__VoucherLi__Vouch__2116E6DF acc.Voucher
acc.WHTCertificate FK__WHTCertif__Perio__1E05700A acc.AccountingPeriod
acc.WHTCertificate FK__WHTCertif__TaxTy__1EF99443 acc.TaxType

(61 rows affected)
