S No,COA Code,Narration,Level #,Account Category
1,1-00-000-0000-00000,ASSET,1,Asset
2,1-01-000-0000-00000,NON CURRENT ASSETS,2,Asset
3,1-01-010-0000-00000,"PROPERTY,PLANT & EQUIPMENT",3,Asset
4,1-01-010-0001-00000,FREEHOLD LAND ZKB ECLIPSE PROJECT,4,Asset
5,1-01-010-0002-00000,BUILDING,4,Asset
6,1-01-010-0003-00000,CONTAINERS,4,Asset
7,1-01-010-0004-00000,PLANT & MACHINERY,4,Asset
8,1-01-010-0005-00000,FURNITURE AND FIXTURE,4,Asset
9,1-01-010-0006-00000,VEHICLES,4,Asset
10,1-01-010-0007-00000,COMPUTERS,4,Asset
11,1-01-010-0008-00000,OFFICE EQUIPMENTS,4,Asset
12,1-01-010-0009-00000,ELECTRIC EQUIPMENTS,4,Asset
13,1-01-010-0010-00000,TOOLS AND EQUIPMENT,4,Asset
14,1-01-010-0011-00000,ARMS AND AMMUNITIONS,4,Asset
15,1-01-020-0000-00000,ACCUMULATED DEPRECIATION OWN ASSETS,3,Asset
16,1-01-020-0001-00000,FREEHOLD LAND ZKB ECLIPSE PROJECT (DEP),4,Asset
17,1-01-020-0002-00000,BUILDING (DEP),4,Asset
18,1-01-020-0003-00000,CONTAINERS (DEP),4,Asset
19,1-01-020-0004-00000,PLANT & MACHINERY (DEP),4,Asset
20,1-01-020-0005-00000,FURNITURE AND FIXTURE (DEP),4,Asset
21,1-01-020-0006-00000,VEHICLES (DEP),4,Asset
22,1-01-020-0007-00000,COMPUTERS (DEP),4,Asset
23,1-01-020-0008-00000,OFFICE EQUIPMENTS (DEP),4,Asset
24,1-01-020-0009-00000,ELECTRIC EQUIPMENTS (DEP),4,Asset
25,1-01-020-0010-00000,TOOLS AND EQUIPMENT (DEP),4,Asset
26,1-01-020-0011-00000,ARMS AND AMMUNITIONS (DEP),4,Asset
27,1-02-000-0000-00000,LEASE & OTHER LONG TERM ASSETS,2,Asset
28,1-02-010-0000-00000,ASSET SUBJECT TO FINANCE LEASE,3,Asset
29,1-02-010-0001-00000,VEHICLES (LEASE),4,Asset
30,1-02-010-0002-00000,PLANT & MACHINERY (LEASE),4,Asset
31,1-02-010-0003-00000,ELECTRICAL EQUIPMENT &  INSTALLATION (LEASE),4,Asset
32,1-02-020-0000-00000,AMORTIZATION ON LEASE ASSETS,3,Asset
33,1-02-020-0001-00000,VEHICLES (AMORT),4,Asset
34,1-02-020-0002-00000,PLANT & MACHINERY (AMORT),4,Asset
35,1-02-030-0000-00000,LONG TERM INVESTMENTS,3,Asset
36,1-02-030-0001-00000,INVESTMENT IN ASSOCIATE AND OTHERS COMPANY,4,Asset
37,1-02-030-0002-00000,INVESTMENT IN SUBSIDIARY COMPANY,4,Asset
38,1-02-040-0000-00000,LONG TERM DEPOSITS,3,Asset
39,1-02-040-0001-00000,BANK GUARANTEES,4,Asset
40,1-02-040-0002-00000,LEASE KEY MONEY,4,Asset
41,1-02-040-0003-00000,SECURITY DEPOSIT,4,Asset
42,1-02-050-0000-00000,INTANGIBLE FIXED ASSETS,3,Asset
43,1-02-050-0001-00000,SOFTWARE'S,4,Asset
44,1-02-060-0000-00000,LONG TERM ADVANCES,3,Asset
45,1-02-060-0001-00000,ADVANCES TO ASSOCIATE COMPANIES,4,Asset
46,1-02-060-0002-00000,ADVANCES TO SUBSIDIARIES COMPANIES,4,Asset
47,1-02-060-0003-00000,INTER PROJECT,4,Asset
48,1-02-060-0004-00000,ADVANCE TO DIRECTORS,4,Asset
49,1-03-000-0000-00000,CURRENT ASSETS,2,Asset
50,1-03-010-0000-00000,CAPITAL WORK IN PROGRESS,3,Asset
51,1-03-010-0001-00000,LAND WORK IN PROGRESS,4,Asset
52,1-03-010-0001-00001,LAND ZKB ECLIPSE,5,Asset
53,1-03-010-0001-00002,LAND REGISTRY & OTHER EXPENSES ZKB ECLIPSE,5,Asset
54,1-03-010-0002-00000,MATERIAL WORK IN PROGRESS,4,Asset
55,1-03-010-0002-00001,BUILDING WORK IN PROGRESS,5,Asset
56,1-03-010-0002-00002,ROADS WORK IN PROGRESS,5,Asset
57,1-03-010-0002-00003,GATES CONSTRUCTION WORK IN PROGRESS,5,Asset
58,1-03-010-0002-00004,ELECTRIC INSTALLATION WORK IN PROGRESS,5,Asset
59,1-03-010-0002-00005,SEVERAGE & WATER WORK IN PROGRESS,5,Asset
60,1-03-010-0002-00009,OTHERS WORK IN PROGRESS,5,Asset
61,1-03-010-0003-00000,NON MATERIAL WORK IN PROGRESS,4,Asset
62,1-03-010-0003-00001,PLANNING & SANCTIONS WORK IN PROGRESS,5,Asset
63,1-03-010-0003-00002,ARCHITECT & DESIGN FEE WORK IN PROGRESS,5,Asset
64,1-03-010-0003-00003,GENERAL WORK IN PROGRESS,5,Asset
65,1-03-020-0000-00000,SHORT TERM SECURITY DEPOSITS,3,Asset
66,1-03-020-0001-00000,SHORT TERM SECURITY DEPOSITS,4,Asset
67,1-03-030-0000-00000,TRADE DEBTORS,3,Asset
68,1-03-030-0001-00000,OTHER DEBTORS,4,Asset
69,1-03-040-0000-00000,"ADVANCES,DEPOSITS,PREPAYMENTS & OTHER RECEIVABLES",3,Asset
70,1-03-040-0001-00000,ADVANCES TO EMPLOYEES AGAINST SALARY,4,Asset
71,1-03-040-0002-00000,ADVANCES TO EMPLOYEES AGAINST EXPENSES,4,Asset
72,1-03-040-0003-00000,LOAN TO EMPLOYEES AGAINST EXPENSES,4,Asset
73,1-03-040-0004-00000,ADVANCE TO SUPPLIERS,4,Asset
74,1-03-040-0005-00000,MOBILIZATION ADVANCE TO CONTRACTORS,4,Asset
75,1-03-040-0006-00000,ADVANCES TO DIRECTORS,4,Asset
76,1-03-040-0007-00000,OTHER ADVANCES,4,Asset
77,1-03-050-0000-00000,PREPAYMENTS,3,Asset
